ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
44;I;j'aime un peu;trop stries tissus;5;44_I;44_j'aime un peu
44;J;je n'aime pas;trop lisse fait faux cuir ca colle peau;4;44_J;44_je n'aime pas
45;A;j'aime un peu;doux toucher;4;45_A;45_j'aime un peu
45;B;j'aime un peu;confortable;5;45_B;45_j'aime un peu
45;C;j'aime un peu;touchet agreable;3;45_C;45_j'aime un peu
45;D;j'aime un peu;doit etre agreable hiver moins ete;3;45_D;45_j'aime un peu
45;E;j'aime beaucoup;tres agreable sensation toucher;6;45_E;45_j'aime beaucoup
45;F;j'aime un peu;confortable mais peu reche toucher;3;45_F;45_j'aime un peu
45;G;je n'aime pas;trop acrylique pas agreable toucher;0;45_G;45_je n'aime pas
45;H;j'aime beaucoup;tissu a trame serree doit etre solide a l' usure;7;45_H;45_j'aime beaucoup
45;I;j'aime beaucoup;idem tissu h toucher plus doux;8;45_I;45_j'aime beaucoup
45;J;j'aime beaucoup;confort d' tissu solide toucher cuir agreable seul point pourrait etre negatif solidite aus griffures autres;8;45_J;45_j'aime beaucoup
46;A;j'aime un peu;tissu coton fin;6;46_A;46_j'aime un peu
46;B;je n'aime pas;tissu relief;3;46_B;46_je n'aime pas
46;C;j'aime un peu;tissu motifs ras;6;46_C;46_j'aime un peu
46;D;je n'aime pas;tissu lainage;2;46_D;46_je n'aime pas
46;E;je n'aime pas;tissu velours;2;46_E;46_je n'aime pas
46;F;j'aime beaucoup;tissu fin ras doux;8;46_F;46_j'aime beaucoup
46;G;je n'aime pas;tissu moelleux;3;46_G;46_je n'aime pas
46;H;j'aime un peu;tissu coton toile;6;46_H;46_j'aime un peu
46;I;je n'aime pas;tissu motifs ras;3;46_I;46_je n'aime pas
46;J;j'aime un peu;tissu simili cuir;6;46_J;46_j'aime un peu
47;A;je n'aime pas;n' aime pas matiere;0;47_A;47_je n'aime pas
47;B;je n'aime pas;n' aime pas trop matiere velours ne conviendra pas longs trajets;2;47_B;47_je n'aime pas
47;C;j'aime un peu;j' aime peu car entree gamme pourrait convenir;5;47_C;47_j'aime un peu
47;D;je n'aime pas;n' aime pas sensation matiere plus ca peluche;1;47_D;47_je n'aime pas
47;E;j'aime beaucoup;sensation toucher tres agreable;8;47_E;47_j'aime beaucoup
47;F;j'aime un peu;j' aime peu sans plus d' explication;4;47_F;47_j'aime un peu
47;G;je n'aime pas;second toucher j' apprecie peu plus matiere molletonnee;6;47_G;47_je n'aime pas
47;H;j'aime beaucoup;sensation toucher peau peche assez agreable;7;47_H;47_j'aime beaucoup
